Statistical profiling result from isolate-0x3963e20-2320-v8.log, (293642 ticks, 59797 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     57    0.0%    0.0%  v8::internal::(anonymous namespace)::ProbeInstantiationsCache(v8::internal::Isolate*, v8::internal::Handle<v8::internal::NativeContext>, int, v8::internal::(anonymous namespace)::CachingMode)
     56    0.0%    0.0%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
     56    0.0%    0.0%  node::Environment::StartProfilerIdleNotifier()::{lambda(uv_check_s*)#2}::_FUN(uv_check_s*)
     55    0.0%    0.0%  v8::Value::IsObject() const
     54    0.0%    0.0%  v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     54    0.0%    0.0%  v8::ArrayBuffer::GetContents()
     53    0.0%    0.0%  void node::StreamBase::JSMethod<&node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
     52    0.0%    0.0%  v8::Context::Exit()
     52    0.0%    0.0%  mprotect
     51    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<true>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     51    0.0%    0.0%  node::(anonymous namespace)::IsAnyArrayBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
     50    0.0%    0.0%  v8::EscapableHandleScope::EscapableHandleScope(v8::Isolate*)
     50    0.0%    0.0%  log
     49    0.0%    0.0%  napi_create_buffer_copy
     48    0.0%    0.0%  v8::Object::SetPrototype(v8::Local<v8::Context>, v8::Local<v8::Value>)
     48    0.0%    0.0%  node::Buffer::Copy(node::Environment*, char const*, unsigned long)
     47    0.0%    0.0%  v8::internal::MarkingBarrier(v8::internal::HeapObject, v8::internal::FullObjectSlot, v8::internal::Object)
     46    0.0%    0.0%  exp
     43    0.0%    0.0%  __log10_finite
     42    0.0%    0.0%  node::errors::TryCatchScope::~TryCatchScope()
